customer_id,month,revenue
ACME Corp,2024-01,8500
ACME Corp,2024-02,8500
ACME Corp,2024-03,8500
ACME Corp,2024-04,8500
ACME Corp,2024-05,8500
ACME Corp,2024-06,8500
ACME Corp,2024-07,8500
ACME Corp,2024-08,8500
ACME Corp,2024-09,8500
ACME Corp,2024-10,8500
ACME Corp,2024-11,8500
ACME Corp,2024-12,8500
ACME Corp,2025-01,8500
Beta Industries,2024-01,4200
Beta Industries,2024-02,4200
Beta Industries,2024-03,4200
Beta Industries,2024-04,4200
Beta Industries,2024-05,4200
Beta Industries,2024-06,4200
Beta Industries,2024-07,5100
Beta Industries,2024-08,5100
Beta Industries,2024-09,5100
Beta Industries,2024-10,5100
Beta Industries,2024-11,5100
Beta Industries,2024-12,5100
Beta Industries,2025-01,5100
Gamma LLC,2024-01,3000
Gamma LLC,2024-02,3000
Gamma LLC,2024-03,3000
Gamma LLC,2024-04,3000
Gamma LLC,2024-05,3000
Gamma LLC,2024-06,3000
Gamma LLC,2024-07,3000
Gamma LLC,2024-08,3000
Gamma LLC,2024-09,3000
Gamma LLC,2024-10,3000
Gamma LLC,2024-11,3000
Gamma LLC,2024-12,0
Gamma LLC,2025-01,0
